####### BEGIN TOOL bininfo vs18 x64 avx2 [2026-09-10_09-16-45] #######
************************************
ext:      [exe,dll,so]
checkavx: ON
recurse:  ON
>>>>>> D:/github/NONO_subversion <<<<<<
filename                                  date              x   link  set           cl     pver      pdb ©   product                                 description
/vs18/x64-avx2/pristine-store-test.exe      07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  pristine-store-test                     arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/ra-local-test.exe            07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  ra-local-test                           arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/ra-test.exe                  07:47 08/07/2026  64  ltcg  avx (21)      14.51  1.16.0    OK  OK  ra-test                                 arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/random-test.exe              07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  random-test                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/repos-test.exe               07:47 08/07/2026  64  ltcg  avx (52)      14.51  1.16.0    OK  OK  repos-test                              arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/revision-test.exe            07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  revision-test                           arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/root-pools-test.exe          07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  root-pools-test                         arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/skel-test.exe                07:47 08/07/2026  64  ltcg  avx (116)     14.51  1.16.0    OK  OK  skel-test                               arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/spillbuf-test.exe            07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  spillbuf-test                           arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/sqlite-test.exe              07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  sqlite-test                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/stream-test.exe              07:47 08/07/2026  64  ltcg  avx (20)      14.51  1.16.0    OK  OK  stream-test                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/string-table-test.exe        07:47 08/07/2026  64  ltcg  avx (22)      14.51  1.16.0    OK  OK  string-table-test                       arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/string-test.exe              07:47 08/07/2026  64  ltcg  avx (37)      14.51  1.16.0    OK  OK  string-test                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/subst_translate-test.exe     07:47 08/07/2026  64  ltcg  avx (139)     14.51  1.16.0    OK  OK  subst_translate-test                    arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/svn.exe                      09:11 10/09/2026  64  ltcg  avx (136)     14.51  1.15.0.4  OK  OK  svn                                     arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnadmin.exe                 09:11 10/09/2026  64  ltcg  avx (18)      14.51  1.15.0.4  OK  OK  svnadmin                                arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnauthz-validate.exe        09:11 10/09/2026  64  ltcg  avx (5)       14.51  1.15.0.4  OK  OK  svnauthz-validate                       arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnauthz.exe                 09:11 10/09/2026  64  ltcg  avx (5)       14.51  1.15.0.4  OK  OK  svnauthz                                arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnbench.exe                 09:11 10/09/2026  64  ltcg  avx (70)      14.51  1.15.0.4  OK  OK  svnbench                                arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svndiff-stream-test.exe      07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  svndiff-stream-test                     arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/svndiff-test.exe             07:47 08/07/2026  64  ltcg                14.51  1.16.0    OK  OK  svndiff-test                            arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/svndumpfilter.exe            09:11 10/09/2026  64  ltcg  avx (5)       14.51  1.15.0.4  OK  OK  svndumpfilter                           arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnfsfs.exe                  09:11 10/09/2026  64  ltcg  avx (94)      14.51  1.15.0.4  OK  OK  svnfsfs                                 arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnlook.exe                  09:11 10/09/2026  64  ltcg  avx (16)      14.51  1.15.0.4  OK  OK  svnlook                                 arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnmover.exe                 09:26 21/05/2026  64  ltcg  avx (50)      14.51  1.16.0    OK  OK  svnmover                                arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:95f35ff427 date:2026-05-18
/vs18/x64-avx2/svnmucc.exe                  09:11 10/09/2026  64  ltcg  avx (9)       14.51  1.15.0.4  OK  OK  svnmucc                                 arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnraisetreeconflict.exe     09:11 10/09/2026  64  ltcg                14.51  1.15.0.4  OK  OK  svnraisetreeconflict                    arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnrdump.exe                 09:11 10/09/2026  64  ltcg  avx (59)      14.51  1.15.0.4  OK  OK  svnrdump                                arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnserve.exe                 09:11 10/09/2026  64  ltcg  avx (42)      14.51  1.15.0.4  OK  OK  svnserve                                arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnsync.exe                  09:11 10/09/2026  64  ltcg  avx (13)      14.51  1.15.0.4  OK  OK  svnsync                                 arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/svnversion.exe               09:11 10/09/2026  64  ltcg                14.51  1.15.0.4  OK  OK  svnversion                              arch:x64-avx2 vcver:14.51[vs18] tag:1.15.0.4 date:2026-09-03
/vs18/x64-avx2/task-test.exe                07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  task-test                               arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/time-test.exe                07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  time-test                               arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/translate-test.exe           07:47 08/07/2026  64  ltcg  avx (46)      14.51  1.16.0    OK  OK  translate-test                          arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/utf-test.exe                 07:47 08/07/2026  64  ltcg  avx (54)      14.51  1.16.0    OK  OK  utf-test                                arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/vdelta-test.exe              07:47 08/07/2026  64  ltcg                14.51  1.16.0    OK  OK  vdelta-test                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/wc-incomplete-tester.exe     07:47 08/07/2026  64  ltcg                14.51  1.16.0    OK  OK  wc-incomplete-tester                    arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/wc-lock-tester.exe           07:47 08/07/2026  64  ltcg                14.51  1.16.0    OK  OK  wc-lock-tester                          arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/wc-queries-test.exe          07:47 08/07/2026  64  ltcg  avx (11)      14.51  1.16.0    OK  OK  wc-queries-test                         arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/wc-test.exe                  07:47 08/07/2026  64  ltcg  avx (7)       14.51  1.16.0    OK  OK  wc-test                                 arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/window-test.exe              07:47 08/07/2026  64  ltcg  avx (19)      14.51  1.16.0    OK  OK  window-test                             arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/x509-test.exe                07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  x509-test                               arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
/vs18/x64-avx2/xml-test.exe                 07:47 08/07/2026  64  ltcg  avx (5)       14.51  1.16.0    OK  OK  xml-test                                arch:x64-avx2 vcver:14.51[vs18] branch:trunk commit:e932ff8f33 date:2026-07-06
####### END TOOL bininfo vs18 x64 avx2 [166020] #######
